MM  DD  YYYY  HH  MM  SS    C     F   RH(%)
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.9  83.9  51.13
08  06  2019  14  13  24  28.9  83.9  51.06
08  06  2019  14  13  25  28.9  83.9  50.96
08  06  2019  14  13  26  28.9  83.9  50.91
08  06  2019  14  13  27  28.9  83.9  50.67
08  06  2019  14  13  28  28.9  83.9  50.44
08  06  2019  14  13  29  28.8  83.9  50.39
08  06  2019  14  13  30  28.8  83.9  50.27
08  06  2019  14  13  31  28.9  83.9  50.31
08  06  2019  14  13  32  28.9  83.9  50.46
08  06  2019  14  13  33  28.9  83.9  50.54
08  06  2019  14  13  34  28.9  83.9  50.53
08  06  2019  14  13  35  28.8  83.9  50.26
08  06  2019  14  13  36  28.8  83.9  50.32
08  06  2019  14  13  37  28.9  83.9  50.5
08  06  2019  14  13  38  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.58
08  06  2019  14  13  39  28.9  83.9  50.29
08  06  2019  14  13  40  28.9  83.9  50.21
08  06  2019  14  13  41  28.8  83.9  50.16
08  06  2019  14  13  42  28.8  83.9  49.88
08  06  2019  14  13  43  28.8  83.9  49.83
08  06  2019  14  13  44  28.8  83.9  49.76
08  06  2019  14  13  45  28.8  83.9  49.91
08  06  2019  14  13  46  28.8  83.9  49.92
08  06  2019  14  13  47  28.8  83.9  49.78
08  06  2019  14  13  48  28.8  83.9  49.62
08  06  2019  14  13  49  28.8  83.9  49.76
08  06  2019  14  13  50  28.8  83.9  49.75
08  06  2019  14  13  51  28.8  83.9  49.59
08  06  2019  14  13  52  28.8  83.9  49.43
08  06  2019  14  13  53  28.8  83.9  49.04
08  06  2019  14  13  54  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.9  49.15
08  06  2019  14  13  55  28.8  83.8  49.14
08  06  2019  14  13  56  28.8  83.9  49.24
08  06  2019  14  13  57  28.8  83.9  49.33
08  06  2019  14  13  58  28.8  83.9  49.51
08  06  2019  14  13  59  28.8  83.9  49.7
08  06  2019  14  14  00  28.8  83.9  49.97
08  06  2019  14  14  01  28.8  83.9  49.96
08  06  2019  14  14  02  28.8  83.9  50.28
08  06  2019  14  14  03  28.8  83.9  50.25
08  06  2019  14  14  05  28.8  83.9  50.17
08  06  2019  14  14  06  28.8  83.9  49.94
08  06  2019  14  14  07  28.8  83.9  49.74
08  06  2019  14  14  08  28.8  83.9  49.61
08  06  2019  14  14  09  28.8  83.9  49.54
08  06  2019  14  14  10  28.8  83.9  49.45
08  06  2019  14  14  11  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.75
08  06  2019  14  14  12  28.8  83.9  49.98
08  06  2019  14  14  13  28.8  83.9  50.1
08  06  2019  14  14  14  28.8  83.9  49.93
08  06  2019  14  14  15  28.8  83.9  49.85
08  06  2019  14  14  16  28.8  83.9  49.97
08  06  2019  14  14  17  28.8  83.9  50.09
08  06  2019  14  14  18  28.8  83.9  50.6
08  06  2019  14  14  19  28.8  83.9  50.49
08  06  2019  14  14  20  28.8  83.9  50.28
08  06  2019  14  14  21  28.8  83.9  50.2
